,comment_text,label,party
17,"But you can only vote once now, voter ID 😂🤣😂😂🤣

Great move from our fabulous government 👍🫡🇬🇧  ",0,libdems
18,Monster dumps 😂🤣,0,libdems
19,"Labour shambles - giving the Bank of England independence to dictate what our pay packet affords us , how large the wealth divide is !
And make years of working 6 days a wk totally fruitless as the currency you trade your work , sweat and toil for ,just gets dilited to transfer wealth to the rich asset holders !
Labour are a bloody shambles and responsible for the detriment many are suffering now from profiteering being sustained by the wealth divide that inflicts more hardship on the have nots !
If you support Labour hold your head in shame 👍
All that is wrong right now is down to the Labour party completely !
So if it’s out of Labour or the LIB’s then vote LIB’s and not the disaster Labour Party",0,libdems
20,"If they made access to facilities easier and cheaper then it would curb the issue.
Local authorities are partly to blame.
They make it a nightmare for a homeowner to take rubbish to a legitimate tip... 🤠",0,libdems
21,Sad 👎🏽,0,libdems
22,👍,2,labour
23,Desperately need more health visitors to ensure people can stay at home *& not take up hospital beds . Also checking more on new borns at home to help new parents adjust to huge demands of parenting. District nurses can pick up on early signs of dysfunctional families / child abuse and neglect. Hopefully then be able to provide support services. As such reducing the huge increase in baby deaths at hands of parents. / step parents 💔,1,labour
24,"What has the tories prehistoric capitalism done for us in over 40yrs? Apart from stealing all our industry which WE paid for and sold off on the cheap to their mates, they have put us TRILLIONS in debt while they are the richest they HAVE EVER BEEN. Everything crumbling from the NHS to the roads which are a disgrace🤬so keep voting for the tories thieving capitalism and keep the 1% very happy ! NO CLAUSE 4, NO LABOUR PARTY.",0,labour
25,"Nothing can be guaranteed 💯. Perhaps rephrase and say ""We will try""",1,labour
26,🙏🙏🙏,2,labour
28,Admirable stuff but they’re setting themselves up for a fall. You can tax all you like but it’s not going to magic 🪄 up the staff to fulfil these promises,0,labour
29,In your local elections vote 💚 green. Don't let the Tories be they blue or red privatise the NHS,1,labour
30,What will Labour pay these Doctors and nurses? 🤔 It needs to be a lot closer to what they are asking for. So far Labour have not said what they will do with regards to pay.,1,labour
31,"**********+++++
+**************
Watch all 5 episodes of Al Jazeera's #LabourFiles

Part 1 👇 The Purge
youtu.be/
elp18OvnNV0

Part 2 👇 The Crisis
youtu.be/
5DTMF0MSXng

Part 3 👇The Heirarchy

www.youtube.com/
watch?v=P-cHBQf5
z_M

Part 4: 👇The Spying Game

youtu.be/
db-Gpmfajp8

Part 5: 👇The Forde Response

youtu.be/
tiODoWurA64


youtu.be/
tdoVw2tWb0I


braveneweurope.c
om/
jonathan-cook-ho
w-britains-labo
ur-party-became
-a-criminal-con
spiracy-against
-its-members?fb
clid=IwAR17ag9w
LXjkOH-uQQFE25N
slHikqbezuuK63n
gCpnVNuAXzSxl2Y
C1qsOo


northeastbylines
.co.uk/
oh-jeremy-corbyn
-the-big-lie/
?fbclid=IwAR06WJ
6bfS7SVyc7ka8ba
FvfF1Me8JljZReP
BukjoGbU1JGP4O-
NTQ3sk1o


troovus.wordpres
s.com/2022/07/
19/forde-report/

£100,000 from Lord Waheed Alli: a media mogul who was one of the biggest financial contributors to Liz Kendall’s 2015 campaign.

£100,000 from Robert Latham: a barrister who backed the anti-Semitism smears against Corbyn.

£95,000 from Martin Taylor: a retired Mayfair hedge fund manager who withdrew funding from the Labour Party after Corbyn was elected and channelled money into the formation of a Blairite grouping called Labour Together.
He also has £10million stake in United Health - A US private healthcare company, currently looking at £1bn worth of contracts from the NHS

£50,000 from Sir Trevor Chinn: a millionaire who donated to Kendall’s campaign and who is well known for supporting right wing pro-Israel government think tanks.

£50,000 from Lord Hollick of Notting Hill: a millionaire and current board member of leading arms manufacturer Honeywell International.

£25,000 from Martin Clarke: nicknamed ""the sledgehammer"" for his business attitude. Former Chief Financial Officer of roadside recovery giant AA and former executive at the private equity firm Permira. Also ex-Daily Mail publisher. Clarke is also a prominent Corbyn opponent and a close personal friend of Chuka Umunna.

£25,000 from Peter Coates: a Corbyn critic and multimillionair
e cofounder of Bet365. Peter’s multibillionair
e daughter, Denise Coates who is the CEO of Bet365, made headlines in 2018 for paying herself a record £265million. In the same year, the Coates’ were the 21st richest family in Britain with a £5.8billion fortune.

Source: 
www.theyworkfory
ou.com/regmem/
?p=25353&fbclid=
IwAR1zfLUgsx74w
bhXQbC-k19-vrBV
Fk597EDlWXHGc4-
1EkUUY5_O07jlCY
Y",1,labour
32,"Phew a lot of financial quotes here..including

quantitive easing
....wow....NHS ????
but
Best of all the deputy leader of the Labour Party, for the whole of 2023, so far. has said. Nothing.
Our ""street talking"" Ange has kept her comments to herself, and 'got on' with the hundreds ? of jobs, she get expenses for, within her remit.
Go Girl...........
😞 sorry
or what ever gender she chooses at this time.
Him,They, It, Us, Whom. SNP 👎",0,labour
33,"STARMER says wage request of Junior Doctors is “unaffordable”

▪️He's on the side of the Tories",0,labour
34,"Voting for the Labour Party and their really excellent candidates in local and general elections and getting them elected to majority power will be the way these issues are addressed and eventually remedied. The ballot box is the way to rid us of the Tories and 13 years of poverty, punishment and pain inflicted on us by them. If you want a fairer society, vote Labour every time.
KS4PM@GE2024/25🌹🌹🌹🌹",2,labour
35,Labours NHS was £6.9trillions (today’s rates) in defecit within 12 months of its existence and NO Government was ever been able to balance the books and find the NHS properly..... and a LIEBOUR Government wontvbe able to either so stop the 🐂💩,0,labour
36,What do you propose to do to rectify this? It won't happen overnight 🤔,1,labour
37,The Labour Party are you going to wave a magic wand 🪄. You need to beware of offering too much that is unachievable you can tax all you want but it’s not going to get the staff you require any time soon,0,labour
38,Think we are missing what's really happening the tories would love to privetise the NHS it's already started 🤔,1,labour
39,Yeah 👏👏👏👏👏👏👏,2,labour
40,And how will this be achieved by voting Labour in the upcoming local elections? 🤨,0,labour
41,I hate the Tories always been labour but would they be able to do any better in the current situation. People are scared to be ill. Have a fall. Heart attack. Stroke. Because the ambulance wouldn't reach them on time. It's all so sad what we have become. I know a elderly lady who had a fall broke her pelvis and she walked somehow down to the hospital. The staff said they don't know how she did it she must have been in so much pain. 😪,0,labour
42,Is anyone convinced with this 💩?,0,labour
43,Maybe you need to accept responsibility also for the support you provided the government with covid measures that led to huge NHS backlogs and waiting lists in the first place ? Maybe accept responsibility for your support of compulsory vaccination that has led to an increase in heart attacks and strokes too ? . The whole lot of you have blood on your hands and it will take more than a few false promises to put right what you helped cause 😭 x,0,labour
44,RIP. To all those innocent people. 🙏🙏🙏,2,labour
45,🙏💔,2,labour
46,"Never forget the Holocaust, a major lesson from history and mankind’s shame 😔",1,labour
47,"There are some remarkably stupid comments on here this morning. Eid Mubarak! We should find similarities in our differences, not differences in our similarities 😉",2,conservatives
48,Says the tax dodging crime party 😂,0,conservatives
49,"We know all about it the call of prayer in a none Islamic Country is DISGUSTING I don't know what visitors think !!! I feel like Eid as been thrown down our throats this year But millions of us will never swallow it, This belongs in an Islamic Country not the UK another reason why many I know are voting Reform UK 🇬🇧🇬🇧🇬🇧 to MAKE the UK GREAT AGAIN they will deport these illegals who seemingly are Islamics 😡",0,conservatives
50,"""Joyous occasion"" 🤔 If you ask them, most British don't give a toss, actually. This is not a Muslim country.",0,conservatives
51,"Can't remember the last time one of your posts actually told the truth.
You live on another planet 🌏",0,conservatives
52,"THIS COUNTRY HAVE LOTS OF IDIOTS THEY COMENTS ONLY ABOUT GRIFFIN. GET RIGHT WE ARE CORECT WITH THIS GOVERNMENT.
GET CORECT ANSWER KEEP UPDATED WITH THE NEW PLANS ACTION WITH THE CORECT SOLUTIONS MORE TO COMES ONLY ONE CAN MAKE THIS HAPPENED MR SUNAK JUST KEEP UPDATED WITH 5 PRIORITIES PROMISE THIS GOVERNMENT GO TO DO WE HAVE CORECT KEY WORDS TO OPEN FOR BETTER FUTURE BETTER ECONOMY WITH SUCCESSFUL THIS GOVERNMENT LOOK FORWARD TO FIX THE PROBLEMS THIS ONE AWAY TO GET EVERYTHING DONE RIGHT ONLY 💙 LET'S LOOK FORWARD BETTER FUTURE THIS GOVERNMENT GO TO GIVEN BETTER QUALITY FUTURE FOR THE BRITISH PEOPLE STOP COMPLAIN ABOUT LET'S STAND OUT TOGETHER WITH CONSERVATIVE (X) SIDE WE ALWAYS WILL BE THERE FOR YOU FOR THE COUNTRY FOR THE SAFETY FOR THE JUSTICE PROTECTION SAFETY FOR OUR COMMUNITY'S THE ARENA AROUND THE COUNTRY CONSERVATIVES & CONSERVATIVE WE CONNECTED EACH OTHER WE CONNECTED WITH YOU ALWAYS. 💙 🇬🇧 💪",2,conservatives
53,Your priorities are ours priorities ? Don’t make me laugh 😂,0,conservatives
54,yes thats right! my priorities are banking in the Cayman islands and asset stripping the country to give said assets to my old Etonian chums 🙂,0,conservatives
55,A simple we’re fighting against the ridiculous ULEZ expansion would have sufficed 😂😂,1,conservatives
56,I've driven all over the country and I can name 30 other areas that are so much more congested than the areas covered by the new ulez zones but such areas have no charges. I barely see 100 cars down my road in a day yet that fool wants to tax us to drive on them. A stupid man voted in by stupid Londoners. Pathetic 😡,0,conservatives
57,Only speaking the trough 👍,2,conservatives
58,Quite right too considering they let them happen in the first place 🤦‍♀️,0,conservatives
59,Castle Point Borough Council ran area says otherwise 🙄,0,conservatives
60,My local council has had 168 million cut from Central government funding. Yet the numpties then blame the Labour Council for cutting back on services 🙄,0,conservatives
61,Like Share Agree. Very Happy Orthodox Easter .Loved This and Easter whilst living in my adopted home of Cyprus! Love and Peaceful Blessings to ALL. 🙏,2,conservatives
62,Wrong type of cross ☦,1,conservatives
63,Balatici Ioan Happy Easter 🐣,2,conservatives
64,Andreea Simona Voloagă Bianca Marcu 🐰🐣✝️,1,conservatives
65,Happy Easter to those of you who would've sent Jesus to Rwanda for processing 🙄,0,conservatives
66,"I'm 67 and just retired from HGV driving. Physically too much now,but do you think I can get any financial help,no I can't. Not happy 😒",0,conservatives
67,"Does anyone feel better off at the moment under your own ‘Leadership’?

*caveat being … only answer if you don’t have a Country pile, avoid tax and wear a Top Hat 🎩",0,conservatives
68,Belated Happy Easter 🙏,2,conservatives
69,"Happy Tamil new year and bringing more health, peace and happiness 🙏",2,conservatives
70,Not Suella Braverman 😂,0,conservatives
71,"Pledge 4 not going to plan. Record waiting lists of 7.22 million. Saying that, Pledge 1 2 3 and 5 ain’t doing too well either 🤷‍♀️	0",0,conservatives
0,Yay! Does that mean you're ditching Blairite neoliberalism for Corbyn styled Democratic Socialism? 😉 ,2,labour
1,Didn't the tories just say they want to take the doctors pensions to force them to work longer into retirement 😂 ,0,conservatives
2,"This Government is ripping off British Tax payers money spending on terrorism, making British people suffer into poverty and force people pension age up by a year, now commit criminals offences by force elderly people to work. This government is sick and EVIL 😈  ",0,conservatives
3,The NHS has finished unfortunately. Very sad. 😭😭  ,0,labour
4,Rishi Sunak Conservatives stop halal cruelty in our country it’s offensive to the British people to have halal killings in our country we don’t want it it’s cruelty to animals i thought we tackled that a long time ago 🤔  ,0,conservatives
5,"Well thats Rishi, who nobody voted for, going against the public to throw away the next election, its like the conservatives do not want to be in power anymore 🤔  ",0,conservatives
6,Here's an idea open the Tips 24/7 and stop the inquisition every time someone takes something there in a vehicle bigger than a Smartcar 🙄  ,1,labour
7,Have you got the demographics to illustrate the words you use above ☝️  ,1,labour
8,"So paying 20% tax on every pound earned once going over the 12k threshold due to fiscal drag & a £40,000 pension boost to the better off is somehow somebody else's responsibility?
🤷 Announcing thing's that aren't actually in the budget are obviously of no use to people already paying through the nose for the highest energy costs in Europe.  ",1,conservatives
9,"I'm sure the former 'Well Paid' Longbridge Rover plant workers appreciate not having to drive to work on bumpy roads as they now walk to work in their minimum wage supermarket jobs . . . . . LOL.🤪 0

I suspect those who now live in the grossly overpriced rentier flats now on the site who can't afford a £200 'Highway Heap' off eBay due to hading 70% of their income to landlords on top of the 45% Neo-Fasfinancis
t Blairite poor tax rate appreciate your anti pothole campaign too . . . . .🧐🤔💩  ",0,labour
10,"The last refuge of the scoundrel is patriotism, but traditionally you are supposed to wrap yourself in your own flag! 😂  ",0,conservatives
11,And how many fines did the current PM and fellow cabinet ministers get for breach of Covid regulations ? 🤔 ,1,conservatives
12,Happy Tamil New Year to all celebrating 😊  ,2,labour
13,"How many major announcements has this pillock made this year 🤔, it’s too late you little squirt, all hot air & no substance. Give in, you are yesterdays man in yesterdays party 🙄  ",0,conservatives
14,Would have been there before you expelled me 🤷‍♀️  ,1,labour
15,"Well done 👏 ✔️.
Perhaps the recent disgusting attitude of the Labour Party can, given the chance, Passover  ",2,labour
16,"Why do some people put laughing emojis on this site, if they think Conservatives are a joke, don’t bother looking at this site , it’s not compulsory 😡 ",0,conservatives
17,"How is cutting local services in any way beneficial to anyone... we have worst gov, t ever and you lot of frauds doing a tribute act.... 🤔😔 ",0,labour
18,❤️🙏  ,2,conservatives
19,"😂that’s a bit rich coming from the Conservatives, who need to get their own house in order before casting aspersions elsewhere.  ",0,conservatives
20,"Happy International Romany Day, Bless up guys and gals 👧 😍 🙌 💖 ❤️ 🙏  ",2,labour
21,"So the government oversaw progressive cuts to police forces and the legal system for twelve years, and it’s everyone else’s fault….. gotcha👍 ",0,conservatives
22,Just another comic for a Prime Minister we don’t believe him do we children. 🙉🙉🙈🙊 ,0,conservatives
23,“Reforming pensions will keep more doctors in the NHS”=milking hard working taxpayers will enable us to give generous handouts to our highly paid friends 😄😄  ,0,conservatives
24,"I have no words, just hang my head in embarrassment that our government is a laughing stock and money pit for other countries… sadly no one any good to challenge them either🤬 ",0,conservatives
25,"No help for the hard working people that pay all this from raised taxes 🙄 your becoming like Labour give, give, give ",0,conservatives
26,💐  ,2,labour
27,"The OBR and Bank Of England predicted that inflation would reduce by 50% naturally in 2023, long before you grifters started trying to take credit for it.
Nice try though. 🤣👍#conartists  ",0,conservatives
28,"Labour really went from let's save the NHS and rebuild society to help the many, to this rubbish 🤣🤣 ",0,labour
29,"🔶🟡 Junior Doctors’ Strike:
Recall Parliament
🟡 Thousands of operations are set to be cancelled and patients’ lives could be put at risk because of the government’s failure to resolve the four-day junior doctors strike this week.
🟡 By refusing to talk to junior doctors, Steve Barclay is putting our NHS and thousands of patients at unnecessary risk. We need to recall Parliament so Conservative Ministers can be held to account over this sudden refusal to engage in talks.
🟡 The Government needs to get round the table immediately to resolve this impending crisis facing our NHS. NHS staff deserve a fair deal but this Health Secretary has slammed the door on urgent talks. ",1,libdems
30,🙏🙏  ,2,conservatives
31,Why do people in Scotland pay more for the standing charge than the rest of the UK? 🤡  ,0,labour
32,"🤣And this is what happens when the UK have deluded and incompetent political leaders.. Have they not worked out what's happening. The more money we give the French, they increase their numbers of police on the north coast and yet more boats keep coming.
Ask yourself why!
The police crackdown on crime in that area, and also make it hard for the migrants. This makes them more determined to get to the UK. But you would think that there would now be a shortage of small boats in the north of France? 🤔Not if UK money is also being sidelined to pay for the boats! Let's be honest, I would be very surprised if this is not happening because it solves the problems on the French side.
Macron has often openly voiced his distain for the UK on many occasions and he must be laughing so much at our desperation and stupidity for giving him so much of our tax payers money.
For Rishi to see this as a success just show why he should not be in office.  ",0,conservatives
33,🤣😂🤣😂More tory Bull***t  ,0,conservatives
34,Come and knock on my door. Dare you.😂  ,0,conservatives
35,You got to be having a laugh we have Bristol City Council who are Labour controlled and our council tax has gone up the full amount 😡😡😡😡😡  ,0,labour
36,great that will just put council tax up for everyone else to recover what they lose 😞  ,0,labour
37,Is that it? 😂😂😂😂😂😂  ,0,labour
38,"You really got the mood of the people with what’s going on today , this will make all the hard shift we’re going through worth while 🤦‍♂️  ",0,conservatives
39,"Are there really??? Funny, I work in the NHS and I haven’t seen any 🤷‍♂️ ",0,conservatives
40,Lol next Labour will be vowing to save Blockbusters! 🤣. Note Sadiq Khan meanwhile is killing off the highest of greater London with his expanded ULEZ. ,0,labour
41,"How does freezing it ""save"" drivers £100 a year? Surely it just means drivers are paying the same as they do now? 🤷🏼‍♂️ ",1,conservatives
42,Meanwhile...in Croydon the local labour party were asked by the central party to abstain from voting down our 15% rise so it passed. Thanks for that 👍🏻 ,0,labour
43,They are leaving so called England and emigrating to Spain who lives there now just as many English then Spanish but much harder now being out of eu unbelievably people are not realising this I would have been one of those if we had not come out of eu it’s now going to take me 5 years to become a resident 😂 ,1,conservatives
44,"Notice ZERO has been mentioned about dragging the millions of people out of the poverty Torys have created for them.
Working families should NOT need to use food banks or sit in the dark at night.
Maybe those people should be in your thoughts also! 🤷‍♀️
#votetory 😭🤦‍♀️💔 ",0,conservatives
45,"Not a single normal House Benefits from this scam, other than business and mansion Houses 🏘️ rich and richest people only, it's a joke.  ",0,conservatives
46,Is this a parady 😂 ,0,conservatives
47,Yes.. More police.. They've always been a supporter of the labour force 🙄 How about we support every other service that actually helps the public first and THEN find the funding for more police? ,0,labour
48,"Tim Jones ""arrival"" of spring 🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️  ",0,labour
49,Good luck with that 🙄  ,0,labour
50,🇨🇿❤🇺🇦 ,2,conservatives
51,"Halving inflation is a given - Even by doing nothing. Inflation stops but prices will still be sky high.

Growing the economy - again you would have to try hard not to. It’s basically static now.

Reducing dept - who’s? Not the publics I bet.

Cutting waiting lists - how?

Stopping the boats - thrown in to keep the Little Britain’s happy 🤦🏻‍♂️ ",0,conservatives
52,"This would be more encouraging if you would say exactly how much you have delivered. To be more specific:

1. By how much have you reduced inflation?
2. By how much have you grown the economy?
3. By how much have you reduced debt?
4. By how much have you cut waiting lists?
5. How many boats have you stopped? By “stopped”, we mean stopped from entering the country. Stopped and then transported to a hotel in Britain doesn’t count.

With the local elections on the horizon, it would be useful if you would provide answers and evidence of delivery as soon as possible 👍  ",1,conservatives
53,🙏  ,2,conservatives
54,But not paying teachers in England the same pay offer as their counterparts in Wales and Scotland ☹️  ,0,conservatives
55,"Bring back apprenticeships
proper labour government apprenticeships
give the youth and up to 31 yrs a new opportunity. It can be done. Your skint for maybe 2 yrs out of your four ,but then you have just created a whole new workforce that labour has done in one term 😉 its a win win  ",2,labour
56,"Johnson wanted a high wage economy, Tories now complaining that nurses are wanting higher wages!🤦‍♀️ ",0,conservatives
57,Just remind everybody here who caused this food shortages in 1st place its not brexit and its not shortage off foreign workers now . Which government halved farm numbers in there term off government. What was Tony's words we will import our food from France and our wine from Italy and our farmers will be groundsmen keeping the fields green like a lawn or words to that effect 10s off thousands off farmers packed in from 1997 to 2010 we never had food issues or worker issues in 60s 70s 80s 90s as we had a workforce called farmers they grew the food and it didn't root in fields as it got done . But they are now long gone and not replaced and the generations off skills are gone . Good plan that was labour and Tony 👍👍👍. No the country is paying a high price for it . Lack off food and lack off farmers left and your using brexit and immigration from a 25 year ago policy off labour plan to import food rather than produce it .  ,0,labour
58,who else here watched Michael goves car crash interview with julia brewer. 😆 ,0,conservatives
59,Labour would do this and do the other if they get in REALLY 🤣🤣🤣  ,0,conservatives
60,"❗❗❗Be careful with your comments on this thread otherwise the demented, neo-McCarthyist
'unStarmerican activities committee' witch-hunt will be on to you.  ",0,labour
61,I’ve voted Labour my whole voting life. I’m 63 yrs old. This will be the first time I’ll not be. I refuse to vote for Tory mk2. I despise every one of you who destroyed the only alternative we’ve had in many years. You’re all despicable. #ItWasAScam #CorbynWasRight 😡🤢  ,0,labour
62,🇬🇧🇪🇺🌟  ,2,libdems
63,Getting desperate 🙂 Good luck in May ,0,conservatives
64,Now if you promise to end austerity and the creeping privatisation of the NHS…. ❤️🌹❤️  ,2,labour
65,Happy Easter! 🙏❤️😀  ,2,labour
66,"***************
***************
*
Watch all 5 episodes of Al Jazeera's #LabourFiles

Part 1 👇 The Purge
youtu.be/
elp18OvnNV0

Part 2 👇 The Crisis
youtu.be/
5DTMF0MSXng

Part 3 👇The Heirarchy

www.youtube.com/
watch?v=P-cHBQf5
z_M

Part 4: 👇The Spying Game

youtu.be/
db-Gpmfajp8

Part 5: 👇The Forde Response

youtu.be/
tiODoWurA64


youtu.be/
tdoVw2tWb0I


braveneweurope.c
om/
jonathan-cook-ho
w-britains-labo
ur-party-became
-a-criminal-con
spiracy-against
-its-members?fb
clid=IwAR17ag9w
LXjkOH-duQQFE25
NslHikqbezuuK63
ngCpnVNuAeXzSxl
2YC1qsOo

 xx vdd astbylines.co.u
k/
oh-jeremy-corbyn
-the-big-lie/? VVV vfbclid=IwAR06W
J6bfS7SVyc7ka8b
aFvfF1Me8JljZRe
PBukjoGbU1JGP4O
-NTQ3sk1o


troovus.wordpres
s.com/2022/07/
19/forde-report/  ",1,labour
67,Happy New Year 🙏☮️ ,2,labour
68,And will it be cheaper for everyone I very much doubt it. Think we all have we all realise think it's going to be the norm now high heating costs. 🤔 ,1,labour
69,"Thurrock is my Borough
The council is bankrupt after a failed borrow to invest scheme left us with over £1B of debt.
The local Tories have control of the council and spent the last 2 years or so doing everything they could to stop anyone seeing the state the finances were in... all the while the debt kept piling up and up.
Credit to the local Labour Party and the local independents for calling for clarity and finally exposing the extent of the problem alongside the Bureau of investigation and local Journalist at Thurrock Nub News.

The 10% council tax rise is mostly to pay down the debt, services are also being cut etc while the taxpayer pays more.

Personally, I'm not opposed to a council tax rise as the area badly needs investment... that we will now being paying more for less is sickening.

Come May, I hope every Tory standing in Thurrock loses their seat... this will still sadly leave the Tories as the majority party here though 😔

Oh, and Starmer is a knobber... ",0,labour
70,Nottingham is getting so bad you need a WRC rally car just to get to the supermarket in one piece 🤣  ,0,labour
71,"We have to get a ""legal commitment"" to do their actual job....or else what..... they arrest themselves? 😁  ",0,libdems
72,I will be voting 🗳 with my photo ID. 🤗  ,2,labour
73,Happy Mother’s Day to mums everywhere xx❤️💐  ,2,conservatives
74,Saville ??? Didn’t do a lot of protecting there did you ! Or were you protecting Saville 🤔 ,0,labour
75,The doctors aren’t backing it!! 🤬  ,0,conservatives
76,What are we doing with these nurses ? that we keep using them up and need more 😂😂😂 ,0,conservatives
77,Basically targeting the lefties. Well done chaps. 💙❤️💙  ,2,conservatives
78,Unbelievable 13 yrs to put things in place and look where we are🙈🙈😡😡😡  ,0,conservatives
79,He should be on the stage! He is so hilarious 😂  ,0,labour
80,Fix all those things we broke 😂  ,0,conservatives
81,"Yikes. 🫣
A gaggle of reactionary 'blue rinsers' more like.
Nice moustaches though. 🤣👍#torymunters  ",0,conservatives
82,Time for INDEPENDENCE 🏴󠁧󠁢󠁳󠁣󠁴󠁿  ,1,labour
83,How are the polls looking? 😉😉 ,1,conservatives
