,comment_text,label,party
100,"Keir Starmer has abandoned his pledges to defend trade unions, bring key industries into public ownership, reverse NHS privatisation, raise corporation tax, protect free movement and abolish tuition fees. Solidarity is now saved for CEOs, not striking workers. Trust is placed in corporate interests, not party members. 🎯

Human rights issues are cherry picked at the expense of a consistently ethical foreign policy. And empathy for desperate refugees is eschewed to appease the right-wing press. 🎯

As the government plunges millions into hardship, Keir Starmer has decided to attack the democratic foundations of his own party and the principles he once proclaimed to support. 🎯 ",0,labour
101,Now that's what I wanna hear! 👏🏻 I'll defo vote Labor at next elections 🏳️‍🌈🏳️‍⚧️ #FuckTheTories #VoteLabor  ,2,labour
102,All i see are 🧢s on this list  ,0,conservatives
103,"Nigerian's youths worldwide you are the government asked for who you support for presidential election this is totally corruption LP is the winner of this election nobody can stop your rights or intimidate your future, women youth all University 🎓 in federal republican of Nigeria stand up for your rights, this is totally corruption APC, LABOR we are waiting for justice ⚖ if we can not stop this open corruption views all over the world Nigerian citizen's you have no future for better Nigeria, how can you see wrong and call it good citizens fight for your rights today is 29 to ask for your right 👉 DAN KANO ",0,labour
104,Compared to 200 years under a labour government 😂 even the author like myself will be dust by then ,0,labour
105,Happy Nawruz #JeremyCorbyn . From all at the Labour Party.👍  ,2,labour
106,"Labour party is sleeping so is the Union leader. While people die earlier, don't see a penny of their hard work pensions.
Dangerous pension reform. Should be scrapped. Bring back pension age to 60.
Why don't the Government say no more pension. Stop talking TAX PAYERS MONEY.
Most people die at the age of 50 now days majority of British people die earlier than 60. So majority of British people Tax payers will never every see Thier pension plan or pension fund. They will be Dead and gone in the grave 🪦🪦🪦🪦🪦🪦🪦🪦🪦🪦🪦🪦🪦🪦🪦🪦🪦🪦🪦🪦. ",0,labour
107,"Why 🤔 surely everyone knows what a recurring direct debit or subscription is and they can stop it at any time. Insurance policies do it so one rule for one, one rule for all. Don't see how this is political 🙄. ",0,labour
108,"In 2019 I couldn’t vote for Labour because they are a toxic woke party
In 2023….different
leader same nonsense
Actually the leader is a back stabbing 🤬🤬🤬 ",0,labour
109,"So bored of hearing how labour are going to “make the streets safe” it seems to be the only thing they are focusing on if you look at their Facebook. 🥱 😴

What about the NHS?! Education?! Cost of living crisis?! Energy costs sky rocketing?!

It should be a walk in the park to beat conservatives at the minute and I’m actually worried labour won’t win…  ",0,labour
110,"Thank you The Labour Party for kicking out the racists people out of your party it’s time for all the faiths to come together under one big party and that is the Labour Party we don’t need racist ￼Cavs￼ in the Labour Party it’s about time we all stood as one and celebrating each other’s traditions they may have instead of putting each other down exemple my religion is better then yours we celebrate Christmas and you celebrate this and that we don’t need it anymore ones again thank you 🙏 Labour Party 🎈 and happy baisakhi to everyone who is celebrating it around the world keep safe and god bless love and peace ✌️
To all the haters who are hateing try and spend a day with the people who are celebrating and you will forget all the hate you have inside you.￼  ",2,labour
111,Happy Ostara also! Which let's be technical is the 'original' Easter 😉 ,2,labour
112,All this within 5yrs not sure what drugs labour party is on but they need to Keep off them as No way in hell they be able to achieve this in 10yrs never mind 5 😂  ,0,labour
113,"You grew the waiting lists to the biggest in NHS history
And that tax policy was yours up until last week 😅🤦‍♂️
Tories get in the bin ",0,conservatives
114,"Life is a choice, if you want to be rich or get richer! boarding your wealth won't get you anywhere.💯 The wise knows the benefit of investing into cryptocurrency and binary. Are you wondering where, and how to start your investment journey⁉️Invest today and enjoy a better tomorrow.✅🤝🏻 Contact Mr Alexander Baldwin , for a good investment plans.🏧📊📈 VIA👉👇👇WHATSAPP:+ 1(323)3649979

https://
www.facebook.com
/
alexanderbaldwin
fx  ",2,conservatives
115,Thank you 🌹  ,2,labour
116,Happy Easter everyone 💐  ,2,conservatives
117,Imagine if these goons had an MSL... 🤣 ,0,conservatives
118,Jealous our we? 🤣😅🤣  ,0,libdems
119,Best wishes from Northern Ireland 💚  ,2,conservatives
120,🙏 Amen ,2,conservatives
121,"Not really something to brag about since council tax is placed on the value of the property, what you're really saying is that Labour councils preside over 22 of the 25 poorest area's in the country 😕 ",1,labour
122,Happy Catholic Easter! 🐣 ,2,labour
123,Criminalising people rather than finding a solution to why they do it 👍  ,0,conservatives
124,What is he trying to achieve!! 😳 ,0,conservatives
125,I’ve voted Labour my entire life and I’m in my 60’s but this is the most ridiculous thing I’ve ever heard. It’s the tori’s fault that people are fly tipping 🙄 ,0,labour
126,"While the cost of living has gone up enormously, and pay has dropped for the working class under the Tories, the UK has gone from 20 to 177 billionaires. There's plenty of money, but we all know where it's going. 😡 ",0,conservatives
127,Looking forward to the private health care owner standing against JC in Islington. A real voice of the people!!!😉  ,0,labour
128,You're having a laugh.🙄  ,0,conservatives
129,"🔶🟡 Junior Doctors’ Strike:
Recall Parliament
🟡 Thousands of operations are set to be cancelled and patients’ lives could be put at risk because of the government’s failure to resolve the four-day junior doctors strike this week.
🟡 By refusing to talk to junior doctors, Steve Barclay is putting our NHS and thousands of patients at unnecessary risk. We need to recall Parliament so Conservative Ministers can be held to account over this sudden refusal to engage in talks.
🟡 The Government needs to get round the table immediately to resolve this impending crisis facing our NHS. NHS staff deserve a fair deal but this Health Secretary has slammed the door on urgent talks. ",1,libdems
130,Just change the headline to Sunak. And it's spot on.👍  ,2,conservatives
131,"Do you think Sir Starmer is reading those comments to take it in account to do something about it?

🤷‍♀️ ",1,labour
132,"The rhetoric is impressive, but the judgement needed to deliver may not be evident in the current crop of Tory MPs?😀 ",0,conservatives
133,"Though cowards flinch
And traitors sneer;
We’ll keep the Red flag flying here !!
✊🏻❤️ ",2,labour
134,Best news I've heard today 🙌👏 ,2,conservatives
135,"Can’t help reading these in starmer’s stupid, insincere voice 😒😄  ",0,labour
136,"A labour government would freeze council tax THIS YEAR, ..............t
hen triple it next.☺️ ",0,labour
137,Why do we all listen to these parties when all they do is argue with themselves... what a pathetic load of MP's we have in this Country. One would like to think that they put this Country first by working together as a team - but no all they can do is have a playground scrap! What a disgrace 😡😡 ,0,conservatives
138,🥳🙏🌹  ,2,labour
139,Good luck with that one 👍  ,2,labour
140,"Never again, well not if something drastic happens to the Tory government 🙄  ",0,conservatives
141,Just another normal day for the Labour Party as everything passes over their heads 😂😂 ,0,labour
142,"Happy st patty’s day, from wales 🏴󠁧󠁢󠁷󠁬󠁳󠁿 💖  ",2,conservatives
143,"And thanks to the Tories, since 2005 almost 90% of rivers are now monitored, how many under Labour 🤔 ",1,labour
144,I have to tell you that pulling this out of the hat 13 years into your hold on government will not save you at the next general election. You have failed in so many ways it’s difficult to know where to begin 😄😄  ,0,conservatives
145,"🔶🟡 Junior Doctors’ Strike:
Recall Parliament
🟡 Thousands of operations are set to be cancelled and patients’ lives could be put at risk because of the government’s failure to resolve the four-day junior doctors strike this week.
🟡 By refusing to talk to junior doctors, Steve Barclay is putting our NHS and thousands of patients at unnecessary risk. We need to recall Parliament so Conservative Ministers can be held to account over this sudden refusal to engage in talks.
🟡 The Government needs to get round the table immediately to resolve this impending crisis facing our NHS. NHS staff deserve a fair deal but this Health Secretary has slammed the door on urgent talks. ",1,libdems
146,Try and deflect away from the mess you lot have got us in you lot are the biggest lot of scroungers and crooks in the country would get rid of the lot of you and start again🤡🤡🤡 ,0,conservatives
147,No one seems to be impressed or inspired by Keir Starmers Labour Party do they 🤷🏻‍♀️  ,0,labour
148,Happy. Easter 🙂🙂🙂  ,2,conservatives
149,We've heard it all before 😡  ,0,conservatives
150,Ben Wallace - wasn't he threatening to resign last week ?..... 🤔 ,0,conservatives
151,"I’d be happier if they said the benefits to the individual household would be as beneficial as to the environment…..b
ut that’s never the case 🤦🏻 ",0,labour
152,👏🏻👏🏻👏🏻  ,2,conservatives
153,"Biggest rip off in Britain's history ...the only priorities are your own... How many mp,s actually have shares in all these big businesses 🤔 ",0,conservatives
154,Christ is risen - resurrection hope 👏  ,2,libdems
155,Levelling down that’s all you have achieved taking us down to the level of the third world our infrastructure is failing our Hospitals and education system is failing and you continue paper over the cracks that’s the truth. 🙉🙈🙊  ,0,conservatives
156,"You need to start by strengthening the punishment given out you set of whoppers. Start making carrying a knife punishable by a few years in prison, start by putting people away for life for serious crimes… oh wait you don’t have enough 5* prisons so you think they can all be rehabilitated 😂😂🙄  ",0,conservatives
157,"Great idea, then us pensioners can go on strike 👍 🤣🤣 ",0,conservatives
158,One of the several first days of spring across different religions. I celebrate them all - even though I’m a humanist 😃  ,2,labour
159,"End of Tories soon…It’s time to finish this ultimate dirty, corrupt, sleazy, racist, misleading, dodgy crime syndicate which has been destroying UK for past 13 years. It’s clear that this draconian regime should not be allowed just one more day..#ToriesOutNow 😡😡😡  ",0,conservatives
160,"You promise this and promise that never achieving anything. Year after year they cross the Channel and invaid in bigger numbers!
Incompetent MUPPETS is what you lot are 🤬  ",0,conservatives
161,"Not a single normal House Benefits from this scam, other than business and mansion Houses 🏘️ rich and richest people only, it's a joke.  ",0,conservatives
162,Does it involve increasing links with our nearest neighbours and making it easier for our greatest scientists to work together 😱 ,1,conservatives
163,"Happy local election day Labour (Red Tories 💩) in may, I will be voting Green. ",2,labour
164,👍Well said!  ,2,labour
165,Happy Easter 🐣 ,2,conservatives
166,FRANCE?!? Here for 'The Leaver Kickoff'. 🤣👍#gammonlanche  ,1,conservatives
167,R.I.P. Sir Nigel and fly high with the angels. 🙏🙏🙏 ,1,conservatives
168,"So if you work full time, and trying to better yourself, get onto the property ladder or further improve your standard of living, the costs going up are ok for you, you’ll somehow absorb it. You must however, hang fire on doing any of this whilst we give a load of lump sums to those that may or may not need it and it will make everything better. 🤷🏻‍♂️ ",0,conservatives
169,"Starmer not sure if he is standing up or lay down most of the time,the rest he's in cloud cuccu land😂😂😂  ",0,conservatives
170,There should be more demands on a early election. People still are not angry enough. I am.😡  ,0,labour
171,Happy Nowruz to all of us 🌷🌿🌷🌿  ,2,labour
172,"I was going through divorce process when I found (Dunka) a great spiritual man online, I never thought me and my husband will ever come back together, we are bless with three children and married for 12years but he was willing to all throw that away just because he met a new woman but help me perform a powerful rite that made him forget about the woman he just met and the divorce was cancelled, we are now living in peace in our home with a stronger bond you can also visit him on his Facebook page for help
✅✅✅✅✅✅✅
Doctor Dunka spell caster ",1,labour
173,Where is the evidence for this? As last I checked. There has been strike action every month this year. That’s not a sign that more people are set to join the profession 🤷🏾‍♀️￼ raise the pay of the public sector staff and take the money from the pay increase you were going to give yourselves.  ,0,conservatives
174,So only conservative women 😍 ,1,conservatives
175,😂😂😂😂 prove it ,0,conservatives
176,"People won’t fall for Tories and their tricks anymore…It’s 100% confirmed that Tories finished and the worst election defeat coming their way…Some dirty, corrupt, sleazy Tory scumbags like this always praise Royal family to show that they’re so patriots. But it’s bogus 😡😡😡  ",0,conservatives
177,When are you going to ban coke because you can get it everywhere 😡 ,0,conservatives
178,The Mirror 🤣😅🤣😅🤣 ,0,libdems
179,"It’s as if Labour Central Office have surveyed the public about what irks them most about living in the UK, then put together a little meme for each problem with a sound bite policy. I suppose it worked for UKIP… 😖 ",0,labour
180,"How about making provisions for the thousands upon thousands of new housing developments - with unobtainable figures required by government and not built in the right places ! Instead we have to put up with creaking infrastructure,
lack of future provision and threatened with droughts every year 😡 ",0,conservatives
181,😭  ,1,libdems
